week_start,producto,categoria,unidades_vendidas,ingreso_total
2025-01-13,Set Servilletas Bordadas,mesa,18,40295.06
2025-01-13,Porta Velas Mesa Hierro,mesa,5,17104.06
2025-01-13,Camino Mesa Ratan,mesa,21,93712.62
2025-01-13,Maceta Terracota XL,jardin,20,140460.8
2025-01-13,Farolito Solar Colgante,jardin,10,43281.36
2025-01-13,Cojín Exterior Rayas,jardin,20,107753.98
2025-01-13,Regadera Cobre Vintage,jardin,6,43878.75
2025-01-20,Set de Bowls Mediterráneo,cocina,21,91520.55
2025-01-20,Tabla de Madera Olivia,cocina,8,43719.94
2025-01-20,Porta Utensilios Cobre,cocina,23,70496.03
2025-01-20,Delantal Lino Natural,cocina,22,71672.2
2025-01-20,Jabonera Mármol Blanco,baño,18,51347.52
2025-01-20,Set Toallas Waffle,baño,15,96780.84
2025-01-20,Porta Cepillo Cerámica,baño,8,14304.78
2025-01-20,Espejo Redondo Nordico,baño,17,205609.15
2025-01-20,Marco Madera Natural 30x40,deco,25,120297.6
2025-01-20,Jarrón Minimalista Blanco,deco,5,28585.47
2025-01-20,Caja Ratan Organizadora,deco,19,99211.65
2025-01-20,Estante Flotante Roble,deco,24,227325.08
2025-01-20,Sillón Boho Arena,sillones,18,878556.67
2025-01-20,Sillón Terciopelo Verde,sillones,25,1391436.8
2025-01-20,Puff Redondo Boucle,sillones,21,480339.55
2025-01-20,Sillón Acapulco Negro,sillones,20,721548.8
2025-01-20,Difusor Bambú 200ml,aromas,19,73834.61
2025-01-20,Vela Soja Lavanda Grande,aromas,13,33218.64
2025-01-20,Set Sales de Baño Botánico,aromas,5,18901.66
2025-01-20,Incienso Palo Santo 10u,aromas,22,34509.02
2025-01-20,Mantel Lino 180cm,mesa,22,126455.65
2025-01-20,Set Servilletas Bordadas,mesa,15,32964.1
2025-01-20,Porta Velas Mesa Hierro,mesa,6,20549.03
2025-01-20,Camino Mesa Ratan,mesa,8,32557.26
2025-01-20,Maceta Terracota XL,jardin,11,72524.88
2025-01-20,Farolito Solar Colgante,jardin,26,126152.21
2025-01-20,Cojín Exterior Rayas,jardin,5,23970.34
2025-01-20,Regadera Cobre Vintage,jardin,26,221700.54
2025-01-27,Set de Bowls Mediterráneo,cocina,14,58129.21
2025-01-27,Tabla de Madera Olivia,cocina,8,43947.85
2025-01-27,Porta Utensilios Cobre,cocina,12,33797.2
2025-01-27,Delantal Lino Natural,cocina,7,20327.17
2025-01-27,Jabonera Mármol Blanco,baño,9,23917.02
2025-01-27,Set Toallas Waffle,baño,23,158010.74
2025-01-27,Porta Cepillo Cerámica,baño,20,39169.18
2025-01-27,Espejo Redondo Nordico,baño,21,261317.95
2025-01-27,Marco Madera Natural 30x40,deco,8,34056.58
2025-01-27,Jarrón Minimalista Blanco,deco,24,157673.24
2025-01-27,Caja Ratan Organizadora,deco,5,23535.89
2025-01-27,Estante Flotante Roble,deco,14,123399.85
2025-01-27,Sillón Boho Arena,sillones,17,826784.26
2025-01-27,Sillón Terciopelo Verde,sillones,26,1452502.27
2025-01-27,Puff Redondo Boucle,sillones,16,353160.19
2025-01-27,Sillón Acapulco Negro,sillones,23,850839.92
2025-01-27,Difusor Bambú 200ml,aromas,20,78348.1
2025-01-27,Vela Soja Lavanda Grande,aromas,5,11960.42
2025-01-27,Set Sales de Baño Botánico,aromas,19,80023.87
2025-01-27,Incienso Palo Santo 10u,aromas,7,9845.64
2025-01-27,Mantel Lino 180cm,mesa,12,64287.17
2025-01-27,Set Servilletas Bordadas,mesa,14,30415.12
2025-01-27,Porta Velas Mesa Hierro,mesa,15,55383.67
2025-01-27,Camino Mesa Ratan,mesa,11,45831.81
2025-01-27,Maceta Terracota XL,jardin,23,165053.3
2025-01-27,Farolito Solar Colgante,jardin,8,34051.39
2025-01-27,Cojín Exterior Rayas,jardin,16,83377.05
2025-01-27,Regadera Cobre Vintage,jardin,26,221730.12
2025-02-03,Set de Bowls Mediterráneo,cocina,5,19425.17
2025-02-03,Tabla de Madera Olivia,cocina,12,67771.47
2025-02-03,Porta Utensilios Cobre,cocina,7,18953.38
2025-02-03,Delantal Lino Natural,cocina,6,17338.18
2025-02-03,Jabonera Mármol Blanco,baño,17,48209.28
2025-02-03,Set Toallas Waffle,baño,15,97325.28
2025-02-03,Porta Cepillo Cerámica,baño,6,10595.07
2025-02-03,Espejo Redondo Nordico,baño,16,192795.65
2025-02-03,Marco Madera Natural 30x40,deco,16,72275.33
2025-02-03,Jarrón Minimalista Blanco,deco,10,59357.31
2025-02-03,Caja Ratan Organizadora,deco,12,59789.95
2025-02-03,Estante Flotante Roble,deco,23,216146.82
2025-02-03,Sillón Boho Arena,sillones,8,362434.56
2025-02-03,Sillón Terciopelo Verde,sillones,19,1012929.22
2025-02-03,Puff Redondo Boucle,sillones,20,452735.36
2025-02-03,Sillón Acapulco Negro,sillones,22,807810.08
2025-02-03,Difusor Bambú 200ml,aromas,26,106673.96
2025-02-03,Vela Soja Lavanda Grande,aromas,9,22291.78
2025-02-03,Set Sales de Baño Botánico,aromas,14,56835.18
2025-02-03,Incienso Palo Santo 10u,aromas,20,30881.76
2025-02-03,Mantel Lino 180cm,mesa,6,30541.1
2025-02-03,Set Servilletas Bordadas,mesa,8,16591.31
2025-02-03,Porta Velas Mesa Hierro,mesa,16,59287.14
2025-02-03,Camino Mesa Ratan,mesa,10,41304.08
2025-02-03,Maceta Terracota XL,jardin,21,148411.47
2025-02-03,Farolito Solar Colgante,jardin,26,126204.62
2025-02-03,Cojín Exterior Rayas,jardin,19,101109.55
2025-02-03,Regadera Cobre Vintage,jardin,16,127124.02
2025-02-10,Set de Bowls Mediterráneo,cocina,26,117500.95
2025-02-10,Tabla de Madera Olivia,cocina,17,99715.36
2025-02-10,Porta Utensilios Cobre,cocina,17,49776.44
2025-02-10,Delantal Lino Natural,cocina,10,29701.97
2025-02-10,Jabonera Mármol Blanco,baño,18,51449.13
2025-02-10,Set Toallas Waffle,baño,21,141549.41
2025-02-10,Porta Cepillo Cerámica,baño,7,12500.94
2025-02-10,Espejo Redondo Nordico,baño,24,304934.4
2025-02-10,Marco Madera Natural 30x40,deco,10,43131.6
2025-02-10,Jarrón Minimalista Blanco,deco,15,92447.95
2025-02-10,Caja Ratan Organizadora,deco,11,54279.67
2025-02-10,Estante Flotante Roble,deco,16,142511.64
2025-02-10,Sillón Boho Arena,sillones,8,363214.85
2025-02-10,Sillón Terciopelo Verde,sillones,6,290813.95
2025-02-10,Puff Redondo Boucle,sillones,16,353571.33
2025-02-10,Sillón Acapulco Negro,sillones,21,763024.08
2025-02-10,Difusor Bambú 200ml,aromas,25,101411.36
2025-02-10,Vela Soja Lavanda Grande,aromas,26,72707.32
2025-02-10,Set Sales de Baño Botánico,aromas,6,22940.58
2025-02-10,Incienso Palo Santo 10u,aromas,26,41934.67
2025-02-10,Mantel Lino 180cm,mesa,17,94245.01
2025-02-10,Set Servilletas Bordadas,mesa,25,58766.4
2025-02-10,Porta Velas Mesa Hierro,mesa,15,55186.54
2025-02-10,Camino Mesa Ratan,mesa,24,109284.67
2025-02-10,Maceta Terracota XL,jardin,8,51328.36
2025-02-10,Farolito Solar Colgante,jardin,17,77522.04
2025-02-10,Cojín Exterior Rayas,jardin,17,89609.31
2025-02-10,Regadera Cobre Vintage,jardin,26,220901.95
2025-02-17,Set de Bowls Mediterráneo,cocina,20,86507.9
2025-02-17,Tabla de Madera Olivia,cocina,8,43876.58
2025-02-17,Porta Utensilios Cobre,cocina,17,49636.82
2025-02-17,Delantal Lino Natural,cocina,5,14307.37
2025-02-17,Jabonera Mármol Blanco,baño,9,23998.87
2025-02-17,Set Toallas Waffle,baño,14,90056.51
2025-02-17,Porta Cepillo Cerámica,baño,14,26264.63
2025-02-17,Espejo Redondo Nordico,baño,19,233512.13
2025-02-17,Marco Madera Natural 30x40,deco,6,25026.19
2025-02-17,Jarrón Minimalista Blanco,deco,8,46793.04
2025-02-17,Caja Ratan Organizadora,deco,11,54001.41
2025-02-17,Estante Flotante Roble,deco,16,143183.77
2025-02-17,Sillón Boho Arena,sillones,11,509726.98
2025-02-17,Sillón Terciopelo Verde,sillones,19,1011917.5
2025-02-17,Puff Redondo Boucle,sillones,15,328579.68
2025-02-17,Sillón Acapulco Negro,sillones,13,447406.96
2025-02-17,Difusor Bambú 200ml,aromas,18,69707.81
2025-02-17,Vela Soja Lavanda Grande,aromas,19,50634.6
2025-02-17,Set Sales de Baño Botánico,aromas,10,39445.28
2025-02-17,Incienso Palo Santo 10u,aromas,23,36394.46
2025-02-17,Mantel Lino 180cm,mesa,13,70073.43
2025-02-17,Set Servilletas Bordadas,mesa,8,16622.85
2025-02-17,Porta Velas Mesa Hierro,mesa,26,103309.56
2025-02-17,Camino Mesa Ratan,mesa,26,120436.33
2025-02-17,Maceta Terracota XL,jardin,20,140304.13
2025-02-17,Farolito Solar Colgante,jardin,6,24991.2
2025-02-17,Cojín Exterior Rayas,jardin,25,139160.32
2025-02-17,Regadera Cobre Vintage,jardin,6,44025.88
2025-02-24,Set de Bowls Mediterráneo,cocina,19,81930.98
2025-02-24,Tabla de Madera Olivia,cocina,15,86926.22
2025-02-24,Porta Utensilios Cobre,cocina,24,73899.61
2025-02-24,Delantal Lino Natural,cocina,14,42877.12
2025-02-24,Jabonera Mármol Blanco,baño,7,18376.96
2025-02-24,Set Toallas Waffle,baño,8,48960.7
2025-02-24,Porta Cepillo Cerámica,baño,9,16253.48
2025-02-24,Espejo Redondo Nordico,baño,17,206346.82
2025-02-24,Marco Madera Natural 30x40,deco,12,52735.97
2025-02-24,Jarrón Minimalista Blanco,deco,6,34547.79
2025-02-24,Caja Ratan Organizadora,deco,21,111363.44
2025-02-24,Estante Flotante Roble,deco,6,49782.47
2025-02-24,Sillón Boho Arena,sillones,14,662398.46
2025-02-24,Sillón Terciopelo Verde,sillones,15,773997.12
2025-02-24,Puff Redondo Boucle,sillones,19,427109.06
2025-02-24,Sillón Acapulco Negro,sillones,18,641088.0
2025-02-24,Difusor Bambú 200ml,aromas,17,65398.97
2025-02-24,Vela Soja Lavanda Grande,aromas,8,19567.31
2025-02-24,Set Sales de Baño Botánico,aromas,24,104829.85
2025-02-24,Incienso Palo Santo 10u,aromas,20,30924.96
2025-02-24,Mantel Lino 180cm,mesa,24,140688.77
2025-02-24,Set Servilletas Bordadas,mesa,17,37908.04
2025-02-24,Porta Velas Mesa Hierro,mesa,21,81046.69
2025-02-24,Camino Mesa Ratan,mesa,18,78754.81
2025-02-24,Maceta Terracota XL,jardin,26,190284.89
2025-02-24,Farolito Solar Colgante,jardin,26,126242.06
2025-02-24,Cojín Exterior Rayas,jardin,22,119545.25
2025-02-24,Regadera Cobre Vintage,jardin,18,144720.92
2025-03-03,Set de Bowls Mediterráneo,cocina,20,87560.26
2025-03-03,Tabla de Madera Olivia,cocina,17,100742.38
2025-03-03,Porta Utensilios Cobre,cocina,21,64400.04
2025-03-03,Delantal Lino Natural,cocina,17,54044.9
2025-03-03,Jabonera Mármol Blanco,baño,10,27029.63
2025-03-03,Set Toallas Waffle,baño,21,144386.42
2025-03-03,Porta Cepillo Cerámica,baño,8,14441.46
2025-03-03,Espejo Redondo Nordico,baño,13,154811.9
2025-03-03,Marco Madera Natural 30x40,deco,5,20869.2
2025-03-03,Jarrón Minimalista Blanco,deco,20,129985.73
2025-03-03,Caja Ratan Organizadora,deco,6,28638.66
2025-03-03,Estante Flotante Roble,deco,4,32769.09
2025-03-03,Sillón Boho Arena,sillones,17,836067.07
2025-03-03,Sillón Terciopelo Verde,sillones,13,667714.94
2025-03-03,Puff Redondo Boucle,sillones,15,331135.2
2025-03-03,Sillón Acapulco Negro,sillones,9,302127.84
2025-03-03,Difusor Bambú 200ml,aromas,11,40685.11
2025-03-03,Vela Soja Lavanda Grande,aromas,6,14584.38
2025-03-03,Set Sales de Baño Botánico,aromas,11,43811.94
2025-03-03,Incienso Palo Santo 10u,aromas,20,31262.4
2025-03-03,Mantel Lino 180cm,mesa,7,36085.9
2025-03-03,Set Servilletas Bordadas,mesa,16,35577.91
2025-03-03,Porta Velas Mesa Hierro,mesa,22,86558.81
2025-03-03,Camino Mesa Ratan,mesa,18,79407.45
2025-03-03,Maceta Terracota XL,jardin,22,159286.9
2025-03-03,Farolito Solar Colgante,jardin,15,68030.28
2025-03-03,Cojín Exterior Rayas,jardin,23,127949.04
2025-03-03,Regadera Cobre Vintage,jardin,21,174935.58
2025-03-10,Set de Bowls Mediterráneo,cocina,15,63196.56
2025-03-10,Tabla de Madera Olivia,cocina,12,68133.39
2025-03-10,Porta Utensilios Cobre,cocina,21,63984.95
2025-03-10,Delantal Lino Natural,cocina,7,20457.37
2025-03-10,Jabonera Mármol Blanco,baño,9,24045.64
2025-03-10,Set Toallas Waffle,baño,17,113141.39
2025-03-10,Porta Cepillo Cerámica,baño,11,20311.79
2025-03-10,Espejo Redondo Nordico,baño,9,102940.42
2025-03-10,Marco Madera Natural 30x40,deco,8,34034.69
2025-03-10,Jarrón Minimalista Blanco,deco,8,47055.72
2025-03-10,Caja Ratan Organizadora,deco,14,71493.68
2025-03-10,Estante Flotante Roble,deco,15,134691.89
2025-03-10,Sillón Boho Arena,sillones,8,363042.82
2025-03-10,Sillón Terciopelo Verde,sillones,15,784280.64
2025-03-10,Puff Redondo Boucle,sillones,6,123220.42
2025-03-10,Sillón Acapulco Negro,sillones,5,161574.0
2025-03-10,Difusor Bambú 200ml,aromas,5,17618.32
2025-03-10,Vela Soja Lavanda Grande,aromas,14,36255.56
2025-03-10,Set Sales de Baño Botánico,aromas,18,76213.56
2025-03-10,Incienso Palo Santo 10u,aromas,12,17597.38
2025-03-10,Mantel Lino 180cm,mesa,18,101767.25
2025-03-10,Set Servilletas Bordadas,mesa,9,18979.8
2025-03-10,Porta Velas Mesa Hierro,mesa,6,20736.22
2025-03-10,Camino Mesa Ratan,mesa,18,79461.94
2025-03-10,Maceta Terracota XL,jardin,16,110645.25
2025-03-10,Farolito Solar Colgante,jardin,14,62871.98
2025-03-10,Cojín Exterior Rayas,jardin,9,44876.33
2025-03-10,Regadera Cobre Vintage,jardin,7,52096.14
2025-03-17,Set de Bowls Mediterráneo,cocina,14,58540.34
2025-03-17,Tabla de Madera Olivia,cocina,22,135329.5
2025-03-17,Porta Utensilios Cobre,cocina,14,40510.36
2025-03-17,Delantal Lino Natural,cocina,11,33194.3
2025-03-17,Jabonera Mármol Blanco,baño,18,51975.71
2025-03-17,Set Toallas Waffle,baño,7,42788.2
2025-03-17,Porta Cepillo Cerámica,baño,8,14434.89
2025-03-17,Espejo Redondo Nordico,baño,14,166989.31
2025-03-17,Marco Madera Natural 30x40,deco,18,83639.95
2025-03-17,Jarrón Minimalista Blanco,deco,5,28792.3
2025-03-17,Caja Ratan Organizadora,deco,18,94277.87
2025-03-17,Estante Flotante Roble,deco,18,164378.02
2025-03-17,Sillón Boho Arena,sillones,14,671053.82
2025-03-17,Sillón Terciopelo Verde,sillones,13,669575.3
2025-03-17,Puff Redondo Boucle,sillones,20,460169.6
2025-03-17,Sillón Acapulco Negro,sillones,7,230429.36
2025-03-17,Difusor Bambú 200ml,aromas,12,44709.16
2025-03-17,Vela Soja Lavanda Grande,aromas,4,9574.49
2025-03-17,Set Sales de Baño Botánico,aromas,11,43915.85
2025-03-17,Incienso Palo Santo 10u,aromas,8,11356.8
2025-03-17,Mantel Lino 180cm,mesa,11,58770.18
2025-03-17,Set Servilletas Bordadas,mesa,17,38325.13
2025-03-17,Porta Velas Mesa Hierro,mesa,21,81842.34
2025-03-17,Camino Mesa Ratan,mesa,19,84635.97
2025-03-17,Maceta Terracota XL,jardin,16,110586.06
2025-03-17,Farolito Solar Colgante,jardin,9,38670.7
2025-03-17,Cojín Exterior Rayas,jardin,16,84170.44
2025-03-17,Regadera Cobre Vintage,jardin,10,76178.75
2025-03-24,Set de Bowls Mediterráneo,cocina,18,77809.94
2025-03-24,Tabla de Madera Olivia,cocina,19,114495.16
2025-03-24,Porta Utensilios Cobre,cocina,13,37155.91
2025-03-24,Delantal Lino Natural,cocina,9,26801.86
2025-03-24,Jabonera Mármol Blanco,baño,11,30062.77
2025-03-24,Set Toallas Waffle,baño,11,69319.54
2025-03-24,Porta Cepillo Cerámica,baño,21,41907.77
2025-03-24,Espejo Redondo Nordico,baño,15,180685.44
2025-03-24,Marco Madera Natural 30x40,deco,13,57948.7
2025-03-24,Jarrón Minimalista Blanco,deco,18,114674.8
2025-03-24,Caja Ratan Organizadora,deco,15,76836.6
2025-03-24,Estante Flotante Roble,deco,14,124506.3
2025-03-24,Sillón Boho Arena,sillones,10,464325.12
2025-03-24,Sillón Terciopelo Verde,sillones,19,1026065.66
2025-03-24,Puff Redondo Boucle,sillones,10,212650.24
2025-03-24,Sillón Acapulco Negro,sillones,5,161462.0
2025-03-24,Difusor Bambú 200ml,aromas,5,17582.14
2025-03-24,Vela Soja Lavanda Grande,aromas,15,39358.8
2025-03-24,Set Sales de Baño Botánico,aromas,17,71221.13
2025-03-24,Incienso Palo Santo 10u,aromas,8,11373.31
2025-03-24,Mantel Lino 180cm,mesa,10,53097.44
2025-03-24,Set Servilletas Bordadas,mesa,12,25850.46
2025-03-24,Porta Velas Mesa Hierro,mesa,23,90820.08
2025-03-24,Camino Mesa Ratan,mesa,19,85026.82
2025-03-24,Maceta Terracota XL,jardin,12,80311.37
2025-03-24,Farolito Solar Colgante,jardin,10,43551.36
2025-03-24,Cojín Exterior Rayas,jardin,9,44621.74
2025-03-24,Regadera Cobre Vintage,jardin,14,110564.61
2025-03-31,Set de Bowls Mediterráneo,cocina,16,68383.8
2025-03-31,Tabla de Madera Olivia,cocina,17,100390.58
2025-03-31,Porta Utensilios Cobre,cocina,24,74934.14
2025-03-31,Delantal Lino Natural,cocina,13,39753.21
2025-03-31,Jabonera Mármol Blanco,baño,23,68771.99
2025-03-31,Set Toallas Waffle,baño,21,144030.43
2025-03-31,Porta Cepillo Cerámica,baño,6,10671.49
2025-03-31,Espejo Redondo Nordico,baño,10,115411.2
2025-03-31,Marco Madera Natural 30x40,deco,13,57889.73
2025-03-31,Jarrón Minimalista Blanco,deco,14,86370.86
2025-03-31,Caja Ratan Organizadora,deco,21,113236.4
2025-03-31,Estante Flotante Roble,deco,21,196654.68
2025-03-31,Sillón Boho Arena,sillones,11,512810.5
2025-03-31,Sillón Terciopelo Verde,sillones,23,1282226.82
2025-03-31,Puff Redondo Boucle,sillones,6,123492.86
2025-03-31,Sillón Acapulco Negro,sillones,5,161837.2
2025-03-31,Difusor Bambú 200ml,aromas,24,98262.53
2025-03-31,Vela Soja Lavanda Grande,aromas,5,11997.86
2025-03-31,Set Sales de Baño Botánico,aromas,15,61858.18
2025-03-31,Incienso Palo Santo 10u,aromas,11,16115.88
2025-03-31,Mantel Lino 180cm,mesa,21,122143.56
2025-03-31,Set Servilletas Bordadas,mesa,19,43298.11
2025-03-31,Porta Velas Mesa Hierro,mesa,15,55761.07
2025-03-31,Camino Mesa Ratan,mesa,5,19927.92
2025-03-31,Maceta Terracota XL,jardin,11,72579.94
2025-03-31,Farolito Solar Colgante,jardin,18,83334.1
2025-03-31,Cojín Exterior Rayas,jardin,17,90459.37
2025-03-31,Regadera Cobre Vintage,jardin,11,84892.26
2025-04-07,Set de Bowls Mediterráneo,cocina,4,15499.81
2025-04-07,Tabla de Madera Olivia,cocina,15,90205.78
2025-04-07,Porta Utensilios Cobre,cocina,12,34955.9
2025-04-07,Delantal Lino Natural,cocina,10,30597.74
2025-04-07,Jabonera Mármol Blanco,baño,7,18780.88
2025-04-07,Set Toallas Waffle,baño,8,50020.67
2025-04-07,Porta Cepillo Cerámica,baño,17,34106.73
2025-04-07,Espejo Redondo Nordico,baño,10,117425.28
2025-04-07,Marco Madera Natural 30x40,deco,5,20995.56
2025-04-07,Jarrón Minimalista Blanco,deco,18,118479.92
2025-04-07,Caja Ratan Organizadora,deco,19,104331.07
2025-04-07,Estante Flotante Roble,deco,6,50592.44
2025-04-07,Sillón Boho Arena,sillones,12,578073.6
2025-04-07,Sillón Terciopelo Verde,sillones,11,570746.18
2025-04-07,Puff Redondo Boucle,sillones,13,289395.39
2025-04-07,Sillón Acapulco Negro,sillones,16,585589.76
2025-04-07,Difusor Bambú 200ml,aromas,7,25485.35
2025-04-07,Vela Soja Lavanda Grande,aromas,14,37220.6
2025-04-07,Set Sales de Baño Botánico,aromas,10,40144.58
2025-04-07,Incienso Palo Santo 10u,aromas,10,14676.0
2025-04-07,Mantel Lino 180cm,mesa,8,42213.25
2025-04-07,Set Servilletas Bordadas,mesa,18,42102.72
2025-04-07,Porta Velas Mesa Hierro,mesa,8,28622.02
2025-04-07,Camino Mesa Ratan,mesa,12,51720.54
2025-04-07,Maceta Terracota XL,jardin,5,31860.45
2025-04-07,Farolito Solar Colgante,jardin,13,59141.16
2025-04-07,Cojín Exterior Rayas,jardin,7,34883.43
2025-04-07,Regadera Cobre Vintage,jardin,12,95503.8
2025-04-14,Set de Bowls Mediterráneo,cocina,20,90550.66
2025-04-14,Tabla de Madera Olivia,cocina,16,97085.13
2025-04-14,Porta Utensilios Cobre,cocina,4,10723.97
2025-04-14,Delantal Lino Natural,cocina,10,30368.1
2025-04-14,Jabonera Mármol Blanco,baño,17,50301.4
2025-04-14,Set Toallas Waffle,baño,5,30414.28
2025-04-14,Porta Cepillo Cerámica,baño,17,33916.55
2025-04-14,Espejo Redondo Nordico,baño,16,199984.13
2025-04-14,Marco Madera Natural 30x40,deco,12,54114.91
2025-04-14,Jarrón Minimalista Blanco,deco,7,41537.62
2025-04-14,Caja Ratan Organizadora,deco,5,23820.26
2025-04-14,Estante Flotante Roble,deco,6,50383.11
2025-04-14,Sillón Boho Arena,sillones,9,420090.62
2025-04-14,Sillón Terciopelo Verde,sillones,12,625807.1
2025-04-14,Puff Redondo Boucle,sillones,15,339287.52
2025-04-14,Sillón Acapulco Negro,sillones,5,163620.8
2025-04-14,Difusor Bambú 200ml,aromas,9,33176.19
2025-04-14,Vela Soja Lavanda Grande,aromas,6,14686.96
2025-04-14,Set Sales de Baño Botánico,aromas,11,44848.88
2025-04-14,Incienso Palo Santo 10u,aromas,19,30616.3
2025-04-14,Mantel Lino 180cm,mesa,6,31056.43
2025-04-14,Set Servilletas Bordadas,mesa,19,44674.5
2025-04-14,Porta Velas Mesa Hierro,mesa,17,66093.31
2025-04-14,Camino Mesa Ratan,mesa,18,82379.61
2025-04-14,Maceta Terracota XL,jardin,17,121330.06
2025-04-14,Farolito Solar Colgante,jardin,6,25358.4
2025-04-14,Cojín Exterior Rayas,jardin,12,62459.9
2025-04-14,Regadera Cobre Vintage,jardin,6,44530.97
2025-04-21,Set de Bowls Mediterráneo,cocina,15,64946.45
2025-04-21,Tabla de Madera Olivia,cocina,15,89647.58
2025-04-21,Porta Utensilios Cobre,cocina,11,31781.08
2025-04-21,Delantal Lino Natural,cocina,18,59262.28
2025-04-21,Jabonera Mármol Blanco,baño,16,46810.62
2025-04-21,Set Toallas Waffle,baño,15,100281.48
2025-04-21,Porta Cepillo Cerámica,baño,19,38587.15
2025-04-21,Espejo Redondo Nordico,baño,7,80328.19
2025-04-21,Marco Madera Natural 30x40,deco,7,30096.36
2025-04-21,Jarrón Minimalista Blanco,deco,6,35284.05
2025-04-21,Caja Ratan Organizadora,deco,7,33974.98
2025-04-21,Estante Flotante Roble,deco,8,68463.64
2025-04-21,Sillón Boho Arena,sillones,8,369045.5
2025-04-21,Sillón Terciopelo Verde,sillones,4,191479.81
2025-04-21,Puff Redondo Boucle,sillones,16,366254.59
2025-04-21,Sillón Acapulco Negro,sillones,11,382954.88
2025-04-21,Difusor Bambú 200ml,aromas,11,41496.36
2025-04-21,Vela Soja Lavanda Grande,aromas,12,31178.53
2025-04-21,Set Sales de Baño Botánico,aromas,19,83338.04
2025-04-21,Incienso Palo Santo 10u,aromas,6,8459.86
2025-04-21,Mantel Lino 180cm,mesa,8,42551.17
2025-04-21,Set Servilletas Bordadas,mesa,16,36822.58
2025-04-21,Porta Velas Mesa Hierro,mesa,13,48560.99
2025-04-21,Camino Mesa Ratan,mesa,11,46839.11
2025-04-21,Maceta Terracota XL,jardin,18,129646.08
2025-04-21,Farolito Solar Colgante,jardin,9,39380.26
2025-04-21,Cojín Exterior Rayas,jardin,14,74438.87
2025-04-21,Regadera Cobre Vintage,jardin,13,104461.51
2025-04-28,Set de Bowls Mediterráneo,cocina,7,27976.1
2025-04-28,Tabla de Madera Olivia,cocina,5,27124.51
2025-04-28,Porta Utensilios Cobre,cocina,5,13603.32
2025-04-28,Delantal Lino Natural,cocina,10,30568.98
2025-04-28,Jabonera Mármol Blanco,baño,4,10369.95
