week;channel;campaign;categoria;cost;impressions;clicks;revenue;cpc;cpm;ctr;roas
2024-02-19;Google Ads;jardin;jardin;3647,67;92523;1938;16936,52;1,88;39,42;2,09;4,64
2024-02-19;Google Ads;mesa;mesa;1559,88;39080;912;4204,09;1,71;39,92;2,33;2,7
2024-02-19;Google Ads;sillones;sillones;2920,79;71304;1680;8101,43;1,74;40,96;2,36;2,77
2024-02-26;Google Ads;aromas;aromas;2287,83;45095;732;12569,42;3,13;50,73;1,62;5,49
2024-02-26;Google Ads;bano;bano;2950,84;71858;1384;8694,06;2,13;41,06;1,93;2,95
2024-02-26;Google Ads;cocina;cocina;1416,75;30956;606;7037,86;2,34;45,77;1,96;4,97
2024-02-26;Google Ads;deco;deco;3348,02;96307;1988;11609,62;1,68;34,76;2,06;3,47
2024-02-26;Google Ads;jardin;jardin;2318,47;56452;959;6788,23;2,42;41,07;1,7;2,93
2024-02-26;Google Ads;mesa;mesa;2435,19;49037;1131;6823,66;2,15;49,66;2,31;2,8
2024-02-26;Google Ads;sillones;sillones;1518,66;43043;935;7598,88;1,62;35,28;2,17;5,0
2024-03-04;Google Ads;aromas;aromas;2585,45;58877;967;14859,04;2,67;43,91;1,64;5,75
2024-03-04;Google Ads;bano;bano;3367,23;71181;946;21227,62;3,56;47,31;1,33;6,3
2024-03-04;Google Ads;cocina;cocina;3579,5;112960;2169;14612,98;1,65;31,69;1,92;4,08
2024-03-04;Google Ads;deco;deco;3094,53;90673;2007;21307,26;1,54;34,13;2,21;6,89
2024-03-04;Google Ads;jardin;jardin;3320,91;60996;1411;20697,8;2,35;54,44;2,31;6,23
2024-03-04;Google Ads;mesa;mesa;3518,91;78562;1263;8893,95;2,79;44,79;1,61;2,53
2024-03-04;Google Ads;sillones;sillones;2522,59;50417;988;6654,48;2,55;50,03;1,96;2,64
2024-03-11;Google Ads;aromas;aromas;1339,6;24464;563;8545,96;2,38;54,76;2,3;6,38
2024-03-11;Google Ads;bano;bano;3384,4;83930;1452;12621,27;2,33;40,32;1,73;3,73
2024-03-11;Google Ads;cocina;cocina;1480,36;27736;385;7816,69;3,85;53,37;1,39;5,28
2024-03-11;Google Ads;deco;deco;2618,71;57521;1158;12281,37;2,26;45,53;2,01;4,69
2024-03-11;Google Ads;jardin;jardin;2504,37;66091;799;9657,82;3,13;37,89;1,21;3,86
2024-03-11;Google Ads;mesa;mesa;2043,21;46163;558;11976,43;3,66;44,26;1,21;5,86
2024-03-11;Google Ads;sillones;sillones;3522,12;88065;1937;21583,17;1,82;39,99;2,2;6,13
2024-03-18;Google Ads;aromas;aromas;3689,67;105665;1837;24568,39;2,01;34,92;1,74;6,66
2024-03-18;Google Ads;bano;bano;3239,81;96055;2212;9384,39;1,46;33,73;2,3;2,9
2024-03-18;Google Ads;cocina;cocina;3541,35;84453;1130;9185,74;3,13;41,93;1,34;2,59
2024-03-18;Google Ads;deco;deco;3143,28;79636;1333;12246,94;2,36;39,47;1,67;3,9
2024-03-18;Google Ads;jardin;jardin;1754,84;44128;589;8414,07;2,98;39,77;1,33;4,79
2024-03-18;Google Ads;mesa;mesa;3600,35;106085;2310;12828,81;1,56;33,94;2,18;3,56
2024-03-18;Google Ads;sillones;sillones;3187,92;91311;1813;10511,06;1,76;34,91;1,99;3,3
2024-03-25;Google Ads;aromas;aromas;2017,55;48680;840;9789,91;2,4;41,45;1,73;4,85
2024-03-25;Google Ads;bano;bano;2199,31;48044;608;10519,32;3,62;45,78;1,27;4,78
2024-03-25;Google Ads;cocina;cocina;3260,92;98151;1916;10367,48;1,7;33,22;1,95;3,18
2024-03-25;Google Ads;deco;deco;1387,74;41137;531;8866,43;2,61;33,73;1,29;6,39
2024-03-25;Google Ads;jardin;jardin;2873,32;70333;1311;17421,48;2,19;40,85;1,86;6,06
2024-03-25;Google Ads;mesa;mesa;3872,39;105041;1665;17969,18;2,33;36,87;1,59;4,64
2024-03-25;Google Ads;sillones;sillones;1541,56;47152;760;8809,1;2,03;32,69;1,61;5,71
2024-04-01;Google Ads;aromas;aromas;1794,87;37689;880;8414,73;2,04;47,62;2,33;4,69
2024-04-01;Google Ads;bano;bano;1417,51;27390;551;5356,29;2,57;51,75;2,01;3,78
2024-04-01;Google Ads;cocina;cocina;2133,55;50613;812;11074,16;2,63;42,15;1,6;5,19
2024-04-01;Google Ads;deco;deco;4190,93;126674;2026;21467,32;2,07;33,08;1,6;5,12
2024-04-01;Google Ads;jardin;jardin;4393,4;122042;2038;22747,64;2,16;36,0;1,67;5,18
2024-04-01;Google Ads;mesa;mesa;2443,04;71051;1545;13474,65;1,58;34,38;2,17;5,52
2024-04-01;Google Ads;sillones;sillones;3461,87;87825;1734;15250,66;2,0;39,42;1,97;4,41
2024-04-08;Google Ads;aromas;aromas;4388,68;129187;2792;13704,96;1,57;33,97;2,16;3,12
2024-04-08;Google Ads;bano;bano;1324,57;30087;637;4092,54;2,08;44,02;2,12;3,09
2024-04-08;Google Ads;cocina;cocina;1454,64;43380;573;8682,68;2,54;33,53;1,32;5,97
2024-04-08;Google Ads;deco;deco;3943,44;113552;2465;12796,17;1,6;34,73;2,17;3,24
2024-04-08;Google Ads;jardin;jardin;3432,0;73188;1268;12980,42;2,71;46,89;1,73;3,78
2024-04-08;Google Ads;mesa;mesa;2962,24;66154;1435;13657,6;2,06;44,78;2,17;4,61
2024-04-08;Google Ads;sillones;sillones;4325,53;137474;2411;16298,48;1,79;31,46;1,75;3,77
2024-04-15;Google Ads;aromas;aromas;3955,38;101587;2105;19282,36;1,88;38,94;2,07;4,87
2024-04-15;Google Ads;bano;bano;3718,29;81129;1854;11761,19;2,01;45,83;2,29;3,16
2024-04-15;Google Ads;cocina;cocina;4084,59;105233;1392;25759,5;2,93;38,81;1,32;6,31
2024-04-15;Google Ads;deco;deco;1932,73;46995;761;5063,77;2,54;41,13;1,62;2,62
2024-04-15;Google Ads;jardin;jardin;1978,07;63146;1041;5196,08;1,9;31,33;1,65;2,63
2024-04-15;Google Ads;mesa;mesa;3344,87;97266;1327;12680,26;2,52;34,39;1,36;3,79
2024-04-15;Google Ads;sillones;sillones;1658,02;46221;803;4184,22;2,06;35,87;1,74;2,52
2024-04-22;Google Ads;aromas;aromas;2297,31;42777;793;14153,25;2,9;53,7;1,85;6,16
2024-04-22;Google Ads;bano;bano;4186,98;110345;1345;20177,88;3,11;37,94;1,22;4,82
2024-04-22;Google Ads;cocina;cocina;2193,8;40954;697;13321,94;3,15;53,57;1,7;6,07
2024-04-22;Google Ads;deco;deco;2616,49;69617;1036;11445,97;2,53;37,58;1,49;4,37
2024-04-22;Google Ads;jardin;jardin;4416,36;83679;1532;21123,34;2,88;52,78;1,83;4,78
2024-04-22;Google Ads;mesa;mesa;2488,5;61171;1200;17207,16;2,07;40,68;1,96;6,91
2024-04-22;Google Ads;sillones;sillones;3802,12;86791;1804;20254,47;2,11;43,81;2,08;5,33
2024-04-29;Google Ads;aromas;aromas;3188,1;94089;1744;12578,48;1,83;33,88;1,85;3,95
2024-04-29;Google Ads;bano;bano;2710,34;59920;750;9208,7;3,61;45,23;1,25;3,4
2024-04-29;Google Ads;cocina;cocina;2733,26;75808;1484;16814,28;1,84;36,06;1,96;6,15
2024-04-29;Google Ads;deco;deco;2900,77;92382;1710;10558,53;1,7;31,4;1,85;3,64
2024-04-29;Google Ads;jardin;jardin;2378,01;68800;1540;9496,99;1,54;34,56;2,24;3,99
2024-04-29;Google Ads;mesa;mesa;4135,31;117468;2670;17533,29;1,55;35,2;2,27;4,24
2024-04-29;Google Ads;sillones;sillones;2841,83;87927;1603;17349,83;1,77;32,32;1,82;6,11
2024-05-06;Google Ads;aromas;aromas;2023,72;39641;825;9603,96;2,45;51,05;2,08;4,75
2024-05-06;Google Ads;bano;bano;4071,12;93374;2238;15207,68;1,82;43,6;2,4;3,74
2024-05-06;Google Ads;cocina;cocina;2211,44;58463;1000;12392,76;2,21;37,83;1,71;5,6
2024-05-06;Google Ads;deco;deco;1447,64;38977;637;8837,72;2,27;37,14;1,63;6,1
2024-05-06;Google Ads;jardin;jardin;1671,17;44296;946;4439,63;1,77;37,73;2,14;2,66
2024-05-06;Google Ads;mesa;mesa;2408,88;56271;1058;12581,42;2,28;42,81;1,88;5,22
2024-05-06;Google Ads;sillones;sillones;2427,64;69632;1315;11853,14;1,85;34,86;1,89;4,88
2024-05-13;Google Ads;aromas;aromas;1484,51;33149;795;8513,54;1,87;44,78;2,4;5,73
2024-05-13;Google Ads;bano;bano;2820,96;55620;1236;12790,78;2,28;50,72;2,22;4,53
2024-05-13;Google Ads;cocina;cocina;2063,86;44670;775;14413,28;2,66;46,2;1,73;6,98
2024-05-13;Google Ads;deco;deco;1489,71;41037;908;5866,69;1,64;36,3;2,21;3,94
2024-05-13;Google Ads;jardin;jardin;2989,17;91105;2024;17047,63;1,48;32,81;2,22;5,7
2024-05-13;Google Ads;mesa;mesa;3819,2;95948;1291;13002,12;2,96;39,8;1,35;3,4
2024-05-13;Google Ads;sillones;sillones;1286,74;33141;544;7870,3;2,37;38,83;1,64;6,12
2024-05-20;Google Ads;aromas;aromas;3196,96;95254;1787;19864,5;1,79;33,56;1,88;6,21
2024-05-20;Google Ads;bano;bano;2336,9;70788;1512;12570,35;1,55;33,01;2,14;5,38
2024-05-20;Google Ads;cocina;cocina;3917,02;74550;1764;21114,79;2,22;52,54;2,37;5,39
2024-05-20;Google Ads;deco;deco;2627,64;80799;1023;8037,23;2,57;32,52;1,27;3,06
2024-05-20;Google Ads;jardin;jardin;2264,78;63256;1021;15251,19;2,22;35,8;1,61;6,73
2024-05-20;Google Ads;mesa;mesa;2027,0;54507;1014;6209,23;2,0;37,19;1,86;3,06
2024-05-20;Google Ads;sillones;sillones;2858,49;58201;1356;9129,66;2,11;49,11;2,33;3,19
2024-05-27;Google Ads;aromas;aromas;2019,29;60809;846;8023,58;2,39;33,21;1,39;3,97
2024-05-27;Google Ads;bano;bano;2843,53;76150;1178;19349,98;2,41;37,34;1,55;6,8
2024-05-27;Google Ads;cocina;cocina;3316,8;86484;1713;19739,31;1,94;38,35;1,98;5,95
2024-05-27;Google Ads;deco;deco;3460,47;76698;987;9584,15;3,51;45,12;1,29;2,77
2024-05-27;Google Ads;jardin;jardin;1873,28;49629;781;10738,8;2,4;37,75;1,57;5,73
2024-05-27;Google Ads;mesa;mesa;4418,73;87626;1441;22214,88;3,07;50,43;1,64;5,03
2024-05-27;Google Ads;sillones;sillones;2082,66;44716;588;7926,49;3,54;46,58;1,31;3,81
2024-06-03;Google Ads;aromas;aromas;3823,16;86966;2023;22546,49;1,89;43,96;2,33;5,9
2024-06-03;Google Ads;bano;bano;4319,27;108310;2556;14979,87;1,69;39,88;2,36;3,47
2024-06-03;Google Ads;cocina;cocina;3718,3;92867;1688;17641,17;2,2;40,04;1,82;4,74
2024-06-03;Google Ads;deco;deco;2833,15;85993;1707;13082,47;1,66;32,95;1,99;4,62
2024-06-03;Google Ads;jardin;jardin;2622,06;79591;1649;15568,11;1,59;32,94;2,07;5,94
2024-06-03;Google Ads;mesa;mesa;3081,93;63873;1190;8724,61;2,59;48,25;1,86;2,83
2024-06-03;Google Ads;sillones;sillones;2123,08;67614;1363;6442,8;1,56;31,4;2,02;3,03
2024-06-10;Google Ads;aromas;aromas;3275,78;87385;1930;10367,82;1,7;37,49;2,21;3,16
2024-06-10;Google Ads;bano;bano;3200,66;80711;1286;16831,65;2,49;39,66;1,59;5,26
2024-06-10;Google Ads;cocina;cocina;2850,26;53112;724;11397,28;3,94;53,67;1,36;4,0
2024-06-10;Google Ads;deco;deco;3639,75;80763;1295;22665,85;2,81;45,07;1,6;6,23
2024-06-10;Google Ads;jardin;jardin;2189,31;64410;1057;12111,54;2,07;33,99;1,64;5,53
2024-06-10;Google Ads;mesa;mesa;3829,29;107811;2183;10032,41;1,75;35,52;2,02;2,62
2024-06-10;Google Ads;sillones;sillones;3783,58;109217;2067;21741,61;1,83;34,64;1,89;5,75
2024-06-17;Google Ads;aromas;aromas;2246,23;51401;1192;13655,59;1,88;43,7;2,32;6,08
2024-06-17;Google Ads;bano;bano;2554,25;73688;1698;16417,87;1,5;34,66;2,3;6,43
2024-06-17;Google Ads;cocina;cocina;4329,08;84583;1034;16933,69;4,19;51,18;1,22;3,91
2024-06-17;Google Ads;deco;deco;1655,67;34608;550;9073,12;3,01;47,84;1,59;5,48
2024-06-17;Google Ads;jardin;jardin;1771,5;54508;878;7253,05;2,02;32,5;1,61;4,09
2024-06-17;Google Ads;mesa;mesa;3322,92;92066;1778;11182,25;1,87;36,09;1,93;3,37
2024-06-17;Google Ads;sillones;sillones;1942,06;61409;956;7380,84;2,03;31,63;1,56;3,8
2024-06-24;Google Ads;aromas;aromas;1858,2;58523;927;10046,46;2,0;31,75;1,58;5,41
2024-06-24;Google Ads;bano;bano;2158,49;47544;977;8760,54;2,21;45,4;2,05;4,06
2024-06-24;Google Ads;cocina;cocina;3432,85;80039;1901;21224,3;1,81;42,89;2,38;6,18
2024-06-24;Google Ads;deco;deco;2780,96;57924;1069;18628,57;2,6;48,01;1,85;6,7
2024-06-24;Google Ads;jardin;jardin;3231,73;84721;1263;17820,6;2,56;38,15;1,49;5,51
2024-06-24;Google Ads;mesa;mesa;1373,22;32663;673;4054,37;2,04;42,04;2,06;2,95
2024-06-24;Google Ads;sillones;sillones;3016,16;93523;1578;20231,35;1,91;32,25;1,69;6,71
2024-07-01;Google Ads;aromas;aromas;3699,03;75670;1685;24179,44;2,2;48,88;2,23;6,54
2024-07-01;Google Ads;bano;bano;4111,41;84123;1937;28727,53;2,12;48,87;2,3;6,99
2024-07-01;Google Ads;cocina;cocina;3094,64;78888;1631;20780,55;1,9;39,23;2,07;6,72
2024-07-01;Google Ads;deco;deco;4290,81;135031;3120;27655,74;1,38;31,78;2,31;6,45
2024-07-01;Google Ads;jardin;jardin;1554,09;49360;760;10802,41;2,04;31,48;1,54;6,95
2024-07-01;Google Ads;mesa;mesa;4297,25;128551;2264;14471,64;1,9;33,43;1,76;3,37
2024-07-01;Google Ads;sillones;sillones;2714,42;58636;834;15783,74;3,25;46,29;1,42;5,81
2024-07-08;Google Ads;aromas;aromas;3391,51;71417;1069;19997,47;3,17;47,49;1,5;5,9
2024-07-08;Google Ads;bano;bano;2060,59;43885;923;13997,92;2,23;46,95;2,1;6,79
2024-07-08;Google Ads;cocina;cocina;1486,23;40677;578;4656,01;2,57;36,54;1,42;3,13
2024-07-08;Google Ads;deco;deco;1237,74;33606;682;3440,37;1,81;36,83;2,03;2,78
2024-07-08;Google Ads;jardin;jardin;2537,87;63536;1444;14379,62;1,76;39,94;2,27;5,67
2024-07-08;Google Ads;mesa;mesa;4223,23;93462;1810;14722,51;2,33;45,19;1,94;3,49
2024-07-08;Google Ads;sillones;sillones;3667,52;97117;1650;18233,3;2,22;37,76;1,7;4,97
2024-07-15;Google Ads;aromas;aromas;2549,26;73331;1553;17596,27;1,64;34,76;2,12;6,9
2024-07-15;Google Ads;bano;bano;2868,11;74621;1029;11405,11;2,79;38,44;1,38;3,98
2024-07-15;Google Ads;cocina;cocina;2674,27;74485;963;13474,99;2,78;35,9;1,29;5,04
2024-07-15;Google Ads;deco;deco;1877,82;49131;643;9007,34;2,92;38,22;1,31;4,8
2024-07-15;Google Ads;jardin;jardin;2893,72;70592;896;13255,26;3,23;40,99;1,27;4,58
2024-07-15;Google Ads;mesa;mesa;2506,63;73771;1545;12789,83;1,62;33,98;2,09;5,1
2024-07-15;Google Ads;sillones;sillones;1410,41;45017;1045;3964,07;1,35;31,33;2,32;2,81
2024-07-22;Google Ads;aromas;aromas;3172,69;88346;1111;18504,51;2,86;35,91;1,26;5,83
2024-07-22;Google Ads;bano;bano;3383,92;86459;1715;13755,5;1,97;39,14;1,98;4,06
2024-07-22;Google Ads;cocina;cocina;4476,43;104545;2345;29456,92;1,91;42,82;2,24;6,58
2024-07-22;Google Ads;deco;deco;2945,18;83024;1218;7408,98;2,42;35,47;1,47;2,52
2024-07-22;Google Ads;jardin;jardin;3422,55;87693;1612;21237,34;2,12;39,03;1,84;6,21
2024-07-22;Google Ads;mesa;mesa;2109,64;65660;1359;6345,39;1,55;32,13;2,07;3,01
2024-07-22;Google Ads;sillones;sillones;3727,98;113228;1379;12777,14;2,7;32,92;1,22;3,43
2024-07-29;Google Ads;aromas;aromas;3859,06;118883;2228;26454,01;1,73;32,46;1,87;6,86
2024-07-29;Google Ads;bano;bano;3614,01;81187;1556;19972,43;2,32;44,51;1,92;5,53
2024-07-29;Google Ads;cocina;cocina;1916,99;57686;731;9139,3;2,62;33,23;1,27;4,77
2024-07-29;Google Ads;deco;deco;1672,76;45570;667;6443,89;2,51;36,71;1,46;3,85
2024-07-29;Google Ads;jardin;jardin;4103,06;126218;2462;18145,36;1,67;32,51;1,95;4,42
2024-07-29;Google Ads;mesa;mesa;4307,24;118013;2528;16945,98;1,7;36,5;2,14;3,93
2024-07-29;Google Ads;sillones;sillones;2442,32;69757;1233;15440,42;1,98;35,01;1,77;6,32
2024-08-05;Google Ads;aromas;aromas;2892,29;72197;951;20002,92;3,04;40,06;1,32;6,92
2024-08-05;Google Ads;bano;bano;3591,13;74216;1129;19864,42;3,18;48,39;1,52;5,53
2024-08-05;Google Ads;cocina;cocina;2001,43;41723;824;13309,57;2,43;47,97;1,97;6,65
2024-08-05;Google Ads;deco;deco;1820,94;52194;1079;9131,69;1,69;34,89;2,07;5,01
2024-08-05;Google Ads;jardin;jardin;2298,78;72177;879;15441,42;2,62;31,85;1,22;6,72
2024-08-05;Google Ads;mesa;mesa;4498,59;111137;1657;23481,76;2,71;40,48;1,49;5,22
2024-08-05;Google Ads;sillones;sillones;3021,86;87202;1444;14811,43;2,09;34,65;1,66;4,9
2024-08-12;Google Ads;aromas;aromas;2560,89;76303;1127;14551,68;2,27;33,56;1,48;5,68
2024-08-12;Google Ads;bano;bano;2060,55;64055;1213;9023,38;1,7;32,17;1,89;4,38
2024-08-12;Google Ads;cocina;cocina;4217,29;97798;1659;21218,71;2,54;43,12;1,7;5,03
2024-08-12;Google Ads;deco;deco;2453,47;72787;1309;13360,96;1,87;33,71;1,8;5,45
2024-08-12;Google Ads;jardin;jardin;3911,25;123326;2429;18412,93;1,61;31,71;1,97;4,71
2024-08-12;Google Ads;mesa;mesa;1758,58;49388;882;11652,41;1,99;35,61;1,79;6,63
2024-08-12;Google Ads;sillones;sillones;1393,82;25748;570;9412,92;2,45;54,13;2,21;6,75
2024-08-19;Google Ads;aromas;aromas;2451,57;63098;799;6233,18;3,07;38,85;1,27;2,54
2024-08-19;Google Ads;bano;bano;1221,82;31428;381;5965,39;3,21;38,88;1,21;4,88
2024-08-19;Google Ads;cocina;cocina;2431,56;64800;1296;12824,88;1,88;37,52;2,0;5,27
2024-08-19;Google Ads;deco;deco;1256,57;36923;741;7699,96;1,7;34,03;2,01;6,13
2024-08-19;Google Ads;jardin;jardin;1517,84;30485;436;7390,42;3,48;49,79;1,43;4,87
2024-08-19;Google Ads;mesa;mesa;2509,76;58283;983;12655,48;2,55;43,06;1,69;5,04
2024-08-19;Google Ads;sillones;sillones;3457,34;103271;2049;21995,53;1,69;33,48;1,98;6,36
2024-08-26;Google Ads;aromas;aromas;4415,27;82793;1427;27701,54;3,09;53,33;1,72;6,27
2024-08-26;Google Ads;bano;bano;1340,42;28095;629;8704,69;2,13;47,71;2,24;6,49
2024-08-26;Google Ads;cocina;cocina;2631,9;76275;1433;16741,06;1,84;34,51;1,88;6,36
2024-08-26;Google Ads;deco;deco;1445,35;44745;1019;7278,48;1,42;32,3;2,28;5,04
2024-08-26;Google Ads;jardin;jardin;2237,8;70402;1340;13169,77;1,67;31,79;1,9;5,89
2024-08-26;Google Ads;mesa;mesa;1453,89;29476;438;9095,45;3,32;49,32;1,49;6,26
2024-08-26;Google Ads;sillones;sillones;2294,71;65579;897;15943,98;2,56;34,99;1,37;6,95
2024-09-02;Google Ads;aromas;aromas;2270,62;53117;823;9639,0;2,76;42,75;1,55;4,25
2024-09-02;Google Ads;bano;bano;2818,99;64784;1509;12525,67;1,87;43,51;2,33;4,44
2024-09-02;Google Ads;cocina;cocina;4351,03;102483;2181;11457,64;1,99;42,46;2,13;2,63
2024-09-02;Google Ads;deco;deco;1482,79;39532;852;8465,23;1,74;37,51;2,16;5,71
2024-09-02;Google Ads;jardin;jardin;3548,53;95365;1990;13928,18;1,78;37,21;2,09;3,93
2024-09-02;Google Ads;mesa;mesa;2217,28;51083;778;6865,33;2,85;43,41;1,52;3,1
2024-09-02;Google Ads;sillones;sillones;3030,64;71864;885;12403,25;3,42;42,17;1,23;4,09
2024-09-09;Google Ads;aromas;aromas;2161,78;59944;1072;11006,6;2,02;36,06;1,79;5,09
2024-09-09;Google Ads;bano;bano;2193,73;54632;697;9775,37;3,15;40,15;1,28;4,46
2024-09-09;Google Ads;cocina;cocina;4187,18;132710;2503;13663,3;1,67;31,55;1,89;3,26
2024-09-09;Google Ads;deco;deco;1453,84;31292;468;7723,75;3,11;46,46;1,5;5,31
2024-09-09;Google Ads;jardin;jardin;1553,01;34578;808;6204,24;1,92;44,91;2,34;3,99
2024-09-09;Google Ads;mesa;mesa;2287,49;51894;1130;14566,24;2,02;44,08;2,18;6,37
2024-09-09;Google Ads;sillones;sillones;2258,2;70595;1017;8838,18;2,22;31,99;1,44;3,91
2024-09-16;Google Ads;aromas;aromas;1480,44;42585;847;6066,16;1,75;34,76;1,99;4,1
2024-09-16;Google Ads;bano;bano;3449,65;88660;2077;15790,09;1,66;38,91;2,34;4,58
2024-09-16;Google Ads;cocina;cocina;3894,43;91523;1223;19617,53;3,18;42,55;1,34;5,04
2024-09-16;Google Ads;deco;deco;2161,39;59869;1306;13142,25;1,65;36,1;2,18;6,08
2024-09-16;Google Ads;jardin;jardin;3290,01;70367;1400;18814,13;2,35;46,76;1,99;5,72
2024-09-16;Google Ads;mesa;mesa;4469,31;110433;1856;21362,22;2,41;40,47;1,68;4,78
2024-09-16;Google Ads;sillones;sillones;2994,03;87036;1419;19550,28;2,11;34,4;1,63;6,53
2024-09-23;Google Ads;aromas;aromas;4002,29;108348;2180;12965,81;1,84;36,94;2,01;3,24
